,Unnamed: 0,date_time,down_short_hemisp
120,15,2011-09-16 07:30:00,-9999.0
121,16,2011-09-16 08:00:00,-9999.0
122,17,2011-09-16 08:30:00,-9999.0
123,18,2011-09-16 09:00:00,-9999.0
124,19,2011-09-16 09:30:00,-9999.0
125,20,2011-09-16 10:00:00,-9999.0
126,21,2011-09-16 10:30:00,-9999.0
127,22,2011-09-16 11:00:00,-9999.0
128,23,2011-09-16 11:30:00,-9999.0
129,24,2011-09-16 12:00:00,-9999.0
130,25,2011-09-16 12:30:00,-9999.0
131,26,2011-09-16 13:00:00,-9999.0
132,27,2011-09-16 13:30:00,-9999.0
133,28,2011-09-16 14:00:00,-9999.0
134,29,2011-09-16 14:30:00,-9999.0
135,30,2011-09-16 15:00:00,-9999.0
136,31,2011-09-16 15:30:00,-9999.0
137,32,2011-09-16 16:00:00,-9999.0
138,33,2011-09-16 16:30:00,-9999.0
139,34,2011-09-16 17:00:00,-9999.0
140,35,2011-09-16 17:30:00,-9999.0
141,36,2011-09-16 18:00:00,-9999.0
142,37,2011-09-16 18:30:00,-9999.0
12528,0,2012-06-15 00:00:00,-9999.0
12529,1,2012-06-15 00:30:00,-9999.0
12574,46,2012-06-15 23:00:00,-9999.0
12575,47,2012-06-15 23:30:00,-9999.0
